,SA2,cbd_dis
142,206041510,1946.5
143,206051128,4612.7
144,206051129,8808.7
145,206051130,4938.5
146,206051134,7823.6
147,206051511,6414.6
148,206051512,3257.3
149,206051513,6552.9
150,206051514,7465.2
151,206061135,8991.0
152,206061136,6562.4
153,206061138,6967.9
154,206061515,5400.3
155,206061516,5435.8
156,206071139,4282.0
157,206071140,3958.3
158,206071141,3356.5
159,206071142,2581.8
160,206071143,4693.6
161,206071145,7340.5
162,206071517,5197.8
163,206071518,4159.0
164,207011146,14342.3
165,207011147,11612.0
166,207011148,14181.1
167,207011149,11381.7
168,207011150,13202.8
169,207011152,9210.2
170,207011154,9858.9
171,207011155,11732.8
172,207011519,6744.7
173,207011520,7765.7
174,207011521,8141.4
175,207011522,7705.8
176,207021156,14778.5
177,207021157,18452.9
178,207021159,20523.1
179,207021160,16438.4
180,207021424,24445.8
181,207021425,22037.4
182,207031161,22758.4
183,207031162,24384.6
184,207031163,21352.9
185,207031164,18379.0
186,207031165,16133.0
187,207031166,19255.0
188,207031167,13673.6
189,208011168,22274.9
190,208011169,12022.1
191,208011170,15756.7
192,208011171,21654.6
193,208011172,16815.9
194,208011173,18653.8
195,208021174,17282.3
196,208021176,15131.2
197,208021177,10572.8
198,208021178,12870.8
199,208021179,10996.8
200,208021180,18621.6
201,208021181,16399.3
202,208021182,15167.4
203,208021426,21215.3
204,208021427,20438.0
205,208031183,45723.3
206,208031184,32478.5
207,208031185,46825.8
208,208031186,47766.3
209,208031187,45931.8
210,208031188,24646.7
211,208031189,48049.9
212,208031190,24949.6
213,208031191,23741.3
214,208031192,350.0
215,208031193,33603.4
216,208041194,10939.0
217,208041195,13899.6
218,209011196,17980.6
219,209011197,23408.5
220,209011198,15846.6
221,209011199,14139.1
222,209011200,11521.8
223,209011201,13121.1
224,209011202,21430.5
225,209011203,17990.7
226,209011204,19404.3
227,209021205,15633.0
228,209021428,11038.9
229,209021429,10194.6
230,209021523,14403.9
231,209021524,15627.8
232,209021525,12663.6
233,209021526,12648.8
234,209031209,25306.9
235,209031210,35131.2
236,209031211,350.0
237,209031212,45244.9
238,209031213,28746.4
239,209031214,37133.8
240,209031215,30387.0
241,209041216,20415.2
242,209041217,18154.9
243,209041220,24221.1
244,209041221,21555.2
245,209041223,16861.2
246,209041224,54000.7
247,209041225,45339.2
248,209041431,23498.1
249,209041432,23450.9
250,209041433,23351.8
251,209041435,27918.2
252,209041436,26553.7
253,209041437,28712.7
254,209041527,34448.7
255,209041528,33756.6
256,209041529,19312.0
257,209041530,20166.4
258,209041531,32766.4
259,209041532,31541.9
260,210011226,15069.0
261,210011227,14582.0
262,210011228,18116.9
263,210011230,12155.2
264,210011231,12204.6
265,210011533,12512.1
266,210011534,13692.7
267,210021232,350.0
268,210021233,62116.4
