,id,Annotations,Name,Parent,Description
237,121031411,,Turramurra,,
238,121031412,,Wahroonga (East) - Warrawee,,
239,12104,,North Sydney - Mosman,,
240,121041413,,Cremorne - Cammeray,,
241,121041414,,Crows Nest - Waverton,,
242,121041416,,Neutral Bay - Kirribilli,,
243,121041417,,North Sydney - Lavender Bay,,
244,121041688,,Mosman - North,,
245,121041689,,Mosman - South,,
246,122,,Sydney - Northern Beaches,,
247,12201,,Manly,,
248,122011418,,Balgowlah - Clontarf - Seaforth,,
249,122011419,,Manly - Fairlight,,
250,12202,,Pittwater,,
251,122021420,,Avalon - Palm Beach,,
252,122021421,,Bayview - Elanora Heights,,
253,122021422,,Newport - Bilgola,,
254,122021690,,Mona Vale - Warriewood (North),,
255,122021691,,North Narrabeen - Warriewood (South),,
256,12203,,Warringah,,
257,122031424,,Beacon Hill - Narraweena,,
258,122031425,,Cromer,,
259,122031427,,Forestville - Killarney Heights,,
260,122031429,,Freshwater - Brookvale,,
261,122031430,,Manly Vale - Allambie Heights,,
262,122031432,,Terrey Hills - Duffys Forest,,
263,122031692,,Belrose,,
264,122031693,,Collaroy - Collaroy Plateau,,
265,122031694,,Dee Why (South) - North Curl Curl,,
266,122031695,,Dee Why - North,,
267,122031696,,Frenchs Forest - Oxford Falls,,
268,122031697,,Narrabeen - Wheeler Heights,,
269,123,,Sydney - Outer South West,,
270,12301,,Camden,,
271,123011433,,Camden - Ellis Lane,,
272,123011698,,Currans Hill,,
273,123011699,,Elderslie - Narellan,,
274,123011700,,Harrington Park,,
275,123011701,,Mount Annan,,
276,123011702,,Spring Farm,,
277,12302,,Campbelltown (NSW),,
278,123021436,,Bradbury - Wedderburn,,
279,123021437,,Campbelltown - Woodbine,,
280,123021438,,Claymore - Eagle Vale - Raby,,
281,123021439,,Holsworthy Military Area,,
282,123021441,,Leumeah - Minto Heights,,
283,123021443,,Minto - St Andrews,,
284,123021444,,Rosemeadow - Glen Alpine,,
285,123021703,,Denham Court - Bardia,,
286,123021704,,Glenfield,,
287,123021705,,Ingleburn,,
288,123021706,,Macquarie Fields,,
289,12303,,Wollondilly,,
290,123031445,,Bargo,,
291,123031446,,Douglas Park - Appin,,
292,123031447,,Picton - Tahmoor - Buxton,,
293,123031448,,The Oaks - Oakdale,,
294,124,,Sydney - Outer West and Blue Mountains,,
295,12401,,Blue Mountains,,
296,124011449,,Blackheath - Megalong Valley,,
297,124011450,,Blaxland - Warrimoo - Lapstone,,
298,124011451,,Blue Mountains - North,,
299,124011452,,Katoomba - Leura,,
300,124011453,,Lawson - Hazelbrook - Linden,,
301,124011454,,Springwood - Winmalee,,
302,124011455,,Wentworth Falls,,
303,12402,,Blue Mountains - South,,
304,124021456,,Blue Mountains - South,,
305,12403,,Penrith,,
306,124031457,,Cambridge Park,,
307,124031459,,Emu Plains - Leonay,,
308,124031460,,Glenmore Park - Regentville,,
309,124031461,,Jamisontown - South Penrith,,
310,124031462,,Kingswood - Werrington,,
311,124031463,,Mulgoa - Luddenham - Orchard Hills,,
312,124031464,,Penrith,,
313,124031465,,Warragamba - Silverdale,,
314,124031707,,Cranebrook - Castlereagh,,
315,124031708,,Jordan Springs - Llandilo,,
316,12404,,Richmond - Windsor,,
317,124041466,,Richmond - Clarendon,,
318,124041467,,Windsor - Bligh Park,,
319,124041468,,Yarramundi - Londonderry,,
320,12405,,St Marys,,
321,124051469,,Erskine Park,,
322,124051470,,St Clair,,
323,124051580,,Colyton - Oxley Park,,
324,124051581,,St Marys - North St Marys,,
325,125,,Sydney - Parramatta,,
326,12501,,Auburn,,
327,125011475,,Rookwood Cemetery,,
328,125011582,,Auburn - Central,,
329,125011583,,Auburn - North,,
330,125011584,,Auburn - South,,
331,125011585,,Berala,,
332,125011586,,Lidcombe,,
333,125011587,,Regents Park,,
334,125011709,,Silverwater - Newington,,
335,125011710,,Wentworth Point - Sydney Olympic Park,,
336,12502,,Carlingford,,
337,125021477,,Ermington - Rydalmere,,
338,125021478,,Oatlands - Dundas Valley,,
339,125021711,,Carlingford - East,,
340,125021712,,Carlingford - West,,
341,12503,,Merrylands - Guildford,,
342,125031479,,Chester Hill - Sefton,,
343,125031480,,Fairfield - East,,
344,125031481,,Granville - Clyde,,
345,125031483,,Guildford - South Granville,,
346,125031484,,Guildford West - Merrylands West,,
347,125031486,,Smithfield Industrial,,
348,125031487,,Yennora Industrial,,
349,125031713,,Greystanes - South,,
350,125031714,,Merrylands - Holroyd,,
351,125031715,,Pemulwuy - Greystanes (North),,
352,125031716,,South Wentworthville,,
353,12504,,Parramatta,,
354,125041489,,North Parramatta,,
355,125041490,,North Rocks,,
356,125041491,,Northmead,,
357,125041493,,Toongabbie - Constitution Hill,,
358,125041494,,Winston Hills,,
359,125041588,,Pendle Hill - Girraween,,
360,125041589,,Wentworthville - Westmead,,
361,125041717,,Parramatta - North,,
362,125041718,,Parramatta - South,,
363,125041719,,Rosehill - Harris Park,,
364,126,,Sydney - Ryde,,
365,12601,,Pennant Hills - Epping,,
366,126011496,,Pennant Hills - Cheltenham,,
367,126011720,,Epping (East) - North Epping,,
368,126011721,,Epping (NSW) - West,,
369,12602,,Ryde - Hunters Hill,,
370,126021498,,Gladesville - Huntleys Point,,
371,126021499,,Hunters Hill - Woolwich,,
372,126021500,,Macquarie Park - Marsfield,,
373,126021501,,North Ryde - East Ryde,,
374,126021503,,West Ryde - Meadowbank,,
375,126021590,,Putney,,
376,126021722,,Denistone,,
377,126021723,,Eastwood,,
378,126021724,,Ryde - North,,
379,126021725,,Ryde - South,,
380,127,,Sydney - South West,,
381,12701,,Bringelly - Green Valley,,
382,127011504,,Ashcroft - Busby - Miller,,
383,127011505,,Austral - Greendale,,
384,127011592,,Badgerys Creek,,
385,127011593,,Cecil Hills,,
386,127011594,,Green Valley,,
387,127011595,,Hinchinbrook,,
388,127011596,,Hoxton Park - Carnes Hill - Horningsea Park,,
389,127011597,,West Hoxton - Middleton Grange,,
390,127011726,,Cobbitty - Bringelly,,
391,127011727,,Gledswood Hills - Gregory Hills,,
392,127011728,,Leppington - Catherine Field,,
393,127011729,,Oran Park,,
394,12702,,Fairfield,,
395,127021509,,Bonnyrigg Heights - Bonnyrigg,,
396,127021510,,Bossley Park - Abbotsbury,,
397,127021511,,Cabramatta - Lansvale,,
398,127021512,,Cabramatta West - Mount Pritchard,,
399,127021513,,Canley Vale - Canley Heights,,
400,127021514,,Edensor Park,,
401,127021515,,Fairfield,,
402,127021516,,Fairfield - West,,
403,127021517,,Greenfield Park - Prairiewood,,
404,127021518,,Horsley Park - Kemps Creek,,
405,127021519,,Smithfield - Wetherill Park,,
406,127021520,,St Johns Park - Wakeley,,
407,127021521,,Wetherill Park Industrial,,
408,12703,,Liverpool,,
409,127031522,,Casula,,
410,127031523,,Chipping Norton - Moorebank,,
411,127031524,,Holsworthy - Wattle Grove,,
412,127031599,,Lurnea - Cartwright,,
413,127031601,,Warwick Farm,,
414,127031730,,Edmondson Park,,
415,127031731,,Liverpool - East,,
416,127031732,,Liverpool - West,,
417,127031733,,Prestons,,
418,128,,Sydney - Sutherland,,
419,12801,,Cronulla - Miranda - Caringbah,,
420,128011529,,Gymea - Grays Point,,
421,128011530,,Miranda - Yowie Bay,,
422,128011531,,Sylvania - Taren Point,,
423,128011602,,Caringbah,,
424,128011603,,Caringbah South,,
425,128011604,,Cronulla - Kurnell - Bundeena,,
426,128011605,,Lilli Pilli - Port Hacking - Dolans Bay,,
427,128011606,,Woolooware - Burraneer,,
428,12802,,Sutherland - Menai - Heathcote,,
429,128021533,,Heathcote - Waterfall,,
430,128021534,,Illawong - Alfords Point,,
431,128021535,,Menai - Lucas Heights - Woronora,,
432,128021536,,Oyster Bay - Como - Jannali,,
433,128021537,,Royal National Park,,
434,128021538,,Sutherland - Kirrawee,,
435,128021607,,Engadine,,
436,128021608,,Loftus - Yarrawarrah,,
437,128021609,,Woronora Heights,,
438,1RNSW,,Rest of NSW,,
439,101,,Capital Region,,
440,10102,,Queanbeyan,,
441,101021007,,Braidwood,,
442,101021008,,Karabar,,
443,101021009,,Queanbeyan,,
444,101021010,,Queanbeyan - East,,
445,101021012,,Queanbeyan West - Jerrabomberra,,
446,101021610,,Googong,,
447,101021611,,Queanbeyan Surrounds,,
448,10103,,Snowy Mountains,,
449,101031013,,Bombala,,
450,101031014,,Cooma,,
451,101031015,,Cooma Surrounds,,
452,101031016,,Jindabyne - Berridale,,
453,10104,,South Coast,,
454,101041017,,Batemans Bay,,
455,101041018,,Batemans Bay - South,,
456,101041019,,Bega - Tathra,,
457,101041020,,Bega-Eden Hinterland,,
458,101041021,,Broulee - Tomakin,,
459,101041022,,Deua - Wadbilliga,,
460,101041023,,Eden,,
461,101041024,,Eurobodalla Hinterland,,
462,101041025,,Merimbula - Tura Beach,,
463,101041026,,Moruya - Tuross Head,,
464,101041027,,Narooma - Bermagui,,
465,10105,,Goulburn - Mulwaree,,
466,101051539,,Goulburn,,
467,101051540,,Goulburn Surrounds,,
468,10106,,Young - Yass,,
469,101061541,,Yass,,
470,101061542,,Yass Surrounds,,
471,101061543,,Young,,
472,101061544,,Young Surrounds,,
473,103,,Central West,,
474,10301,,Bathurst,,
475,103011059,,Bathurst - East,,
476,103011060,,Bathurst Surrounds,,
477,103011061,,Oberon,,
478,103011612,,Bathurst - South,,
479,103011613,,Bathurst - West,,
480,10302,,Lachlan Valley,,
481,103021062,,Condobolin,,
482,103021063,,Cowra,,
483,103021064,,Cowra Surrounds,,
484,103021065,,Forbes,,
485,103021066,,Grenfell,,
486,103021067,,Parkes (NSW),,
487,103021068,,Parkes Surrounds,,
488,103021069,,West Wyalong,,
489,10303,,Lithgow - Mudgee,,
490,103031070,,Lithgow,,
491,103031071,,Lithgow Surrounds,,
492,103031072,,Mudgee,,
493,103031073,,Mudgee Surrounds - East,,
494,103031074,,Mudgee Surrounds - West,,
495,103031075,,Wollangambe - Wollemi,,
496,10304,,Orange,,
497,103041076,,Blayney,,
498,103041077,,Orange,,
499,103041078,,Orange - North,,
500,103041079,,Orange Surrounds,,
501,104,,Coffs Harbour - Grafton,,
502,10401,,Clarence Valley,,
503,104011080,,Grafton,,
504,104011081,,Grafton Surrounds,,
505,104011082,,Maclean - Yamba - Iluka,,
506,10402,,Coffs Harbour,,
507,104021083,,Bellingen,,
508,104021084,,Coffs Harbour - North,,
509,104021085,,Coffs Harbour - South,,
510,104021086,,Coramba - Nana Glen - Bucca,,
511,104021087,,Dorrigo,,
512,104021088,,Korora - Emerald Beach,,
513,104021089,,Sawtell - Boambee,,
514,104021090,,Urunga,,
515,104021091,,Woolgoolga - Arrawarra,,
516,105,,Far West and Orana,,
517,10501,,Bourke - Cobar - Coonamble,,
518,105011092,,Bourke - Brewarrina,,
519,105011093,,Cobar,,
520,105011094,,Coonamble,,
521,105011095,,Nyngan - Warren,,
522,105011096,,Walgett - Lightning Ridge,,
523,10502,,Broken Hill and Far West,,
524,105021097,,Broken Hill,,
525,105021098,,Far West,,
526,10503,,Dubbo,,
527,105031099,,Coonabarabran,,
528,105031100,,Dubbo - East,,
529,105031101,,Dubbo - South,,
530,105031102,,Dubbo - West,,
531,105031103,,Dubbo Surrounds,,
532,105031104,,Gilgandra,,
533,105031105,,Narromine,,
534,105031106,,Wellington,,
535,106,,Hunter Valley exc Newcastle,,
536,10601,,Lower Hunter,,
537,106011107,,Branxton - Greta - Pokolbin,,
538,106011108,,Cessnock,,
539,106011109,,Cessnock Surrounds,,
540,106011110,,Dungog,,
541,106011111,,Kurri Kurri - Abermain,,
542,106011112,,Singleton,,
543,106011113,,Singleton Surrounds,,
544,10602,,Maitland,,
545,106021114,,Maitland,,
546,106021116,,Maitland - North,,
547,106021614,,East Maitland - Metford,,
548,106021615,,Rutherford (North) - Aberglasslyn,,
549,106021616,,Rutherford (South) - Telarah,,
550,106021617,,Tenambit - East Maitland,,
551,106021618,,Thornton - Millers Forest,,
552,10603,,Port Stephens,,
553,106031119,,Anna Bay,,
554,106031120,,Lemon Tree Passage - Tanilba Bay,,
555,106031121,,Nelson Bay Peninsula,,
556,106031122,,Raymond Terrace,,
557,106031123,,Seaham - Woodville,,
558,106031124,,Tea Gardens - Hawks Nest,,
559,106031125,,Williamtown - Medowie - Karuah,,
560,10604,,Upper Hunter,,
561,106041126,,Muswellbrook,,
562,106041127,,Muswellbrook Surrounds,,
563,106041128,,Scone,,
564,106041129,,Scone Surrounds,,
565,107,,Illawarra,,
566,10701,,Dapto - Port Kembla,,
567,107011131,,Dapto - Avondale,,
568,107011132,,Horsley - Kembla Grange,,
569,107011133,,Port Kembla Industrial,,
570,107011134,,Unanderra - Mount Kembla,,
571,107011545,,Berkeley - Lake Heights - Cringila,,
572,107011546,,Port Kembla - Warrawong,,
573,107011547,,Windang - Primbee,,
574,10702,,Illawarra Catchment Reserve,,
