,School Name,SA2,Latitude,Longitude,School Type
3705,Yarra Glen Primary School,211051276,-37.64909639,145.37161525,Primary
3706,Kangaroo Flat Primary School,202011022,-36.788258,144.234463,Primary
3707,Westmeadows Primary School,210051245,-37.675649,144.895697,Primary
3708,Sunbury Primary School,210041241,-37.597687,144.728144,Primary
3709,Diamond Creek Primary School,209031215,-37.67184929,145.15165389,Primary
3710,Hesket Primary School,210021235,-37.34780909,144.61977745,Primary
3711,Axedale Primary School,202021029,-36.786228,144.50146,Primary
3712,Vermont Primary School,211041272,-37.837658,145.194176,Primary
3713,Tarnagulla Primary School,202031033,-36.771263,143.828403,Primary
3714,Balwyn Primary School,207011147,-37.813944,145.081524,Primary
3715,Scoresby Primary School,211011254,-37.89395,145.227501,Primary
3716,Carisbrook Primary School,201031017,-37.052061,143.812657,Primary
3717,Wandin Yallock Primary School,211051285,-37.79036668,145.43650303,Primary
3718,Yering Primary School,211051278,-37.7053494,145.38221845,Primary
3719,Dartmoor Primary School,217011420,-37.923017,141.276732,Primary
3720,Mickleham Primary School,210051445,-37.563336,144.877199,Primary
3721,Inglewood Primary School,202031033,-36.573945,143.870446,Primary
3722,Chewton Primary School,202021027,-37.0821,144.261,Primary
3723,Bolinda Primary School,210021235,-37.4335933,144.74570475,Primary
3724,Napoleons Primary School,201031015,-37.67809255,143.82614169,Primary
3725,Kew Primary School,207011153,-37.80463,145.033156,Primary
3726,Haddon Primary School,201011007,-37.58863962,143.72171442,Primary
3727,Panmure Primary School,217041477,-38.32935021,142.732528,Primary
3728,Sorrento Primary School,214021383,-38.3417,144.741,Primary
3729,Alfredton Primary School,201011001,-37.55496802,143.80173979,Primary
3730,Bridgewater Primary School,202031033,-36.603101,143.945917,Primary
3731,Hastings Primary School,214021379,-38.299463,145.189121,Primary
3732,Yackandandah Primary School,204031075,-36.312095,146.836458,Primary
3733,Nagambie Primary School,204011058,-36.787589,145.157226,Primary
3734,Heyfield Primary School,205051101,-37.9816,146.785,Primary
3735,Moorabbin Primary School,208031191,-37.942362,145.039171,Primary
3736,Mansfield Primary School,204011057,-37.055507,146.085062,Primary
3737,Middle Indigo Primary School,204031070,-36.156013,146.72484,Primary
3738,Briagolong Primary School,205051101,-37.842801,147.067843,Primary
3739,Lindenow Primary School,205021082,-37.800879,147.453266,Primary
3740,Broadford Primary School,204011056,-37.20257,145.046301,Primary
3741,Murchison Primary School,216031419,-36.61718,145.214287,Primary
3742,Panton Hill Primary School,209031212,-37.64150892,145.23970274,Primary
3743,Glen Park Primary School,201011003,-37.5247,143.935,Primary
3744,Concongella Primary School,215011392,-37.049558,142.822316,Primary
3745,Bruthen Primary School,205021082,-37.704214,147.833492,Primary
3746,Swan Hill Primary School,215031404,-35.346911,143.54325,Primary
3747,Porepunkah Primary School,204031069,-36.699486,146.911022,Primary
3748,Leopold Primary School,203021044,-38.18689,144.464536,Primary
3749,Inverleigh Primary School,203011035,-38.10094228,144.05468771,Primary
3750,Glen Iris Primary School,207011150,-37.860436,145.065883,Primary
3751,Trawalla Primary School,201031014,-37.437731,143.469859,Primary
3752,Quarry Hill Primary School,202011021,-36.77507,144.280277,Primary
3753,Sebastopol Primary School,201011004,-37.59643401,143.84471903,Primary
3754,Woodside Primary School,205051104,-38.526681,146.87668,Primary
3755,Noorat Primary School,217031474,-38.190751,142.928735,Primary
3756,Albert Park Primary School,206051128,-37.841787,144.952395,Primary
3757,Williamstown Primary School,213021346,-37.8639898,144.89975355,Primary
3758,Boneo Primary School,214021378,-38.412073,144.886977,Primary
3759,Queenscliff Primary School,203031052,-38.2672568,144.65606943,Primary
3760,Portland North Primary School,217011422,-38.317639,141.572331,Primary
3761,Timor Primary School,201031017,-36.984224,143.711987,Primary
3762,Apsley Primary School,215011393,-36.973706,141.082487,Primary
3763,Strathfieldsaye Primary School,202011024,-36.804386,144.352731,Primary
3764,Skye Primary School,214011376,-38.117707,145.201245,Primary
3765,Tooborac Primary School,204011060,-37.039779,144.798145,Primary
3766,Lucknow Primary School,205021081,-37.812667,147.630748,Primary
3767,Upper Plenty Primary School,209041224,-37.423711,145.057874,Primary
3768,Carlton North Primary School,206071140,-37.791064,144.973028,Primary
3769,Maldon Primary School,202021028,-36.995039,144.065814,Primary
3770,Woori Yallock Primary School,211051286,-37.77737209,145.53268809,Primary
